Wall time,Step,Value
1501565156.279868,0,10.0
1501565156.2928689,1,9.97700023651123
1501565156.2958689,2,9.95405387878418
1501565156.2998693,3,9.931160926818848
1501565156.3028693,4,9.908319473266602
1501565156.3068695,5,9.885530471801758
1501565156.3098698,6,9.862794876098633
1501565156.31387,7,9.840110778808594
1501565156.3168702,8,9.817479133605957
1501565156.3208704,9,9.794899940490723
1501565156.3238704,10,9.772372245788574
1501565156.3268707,11,9.749896049499512
1501565156.3308709,12,9.727472305297852
1501565156.3338711,13,9.705100059509277
1501565156.3368714,14,9.682778358459473
1501565156.3408716,15,9.66050910949707
1501565156.3448718,16,9.638290405273438
1501565156.347872,17,9.61612319946289
1501565156.3518722,18,9.594006538391113
1501565156.3548722,19,9.571940422058105
1501565156.3588724,20,9.549925804138184
1501565156.3618727,21,9.527961730957031
1501565156.3658729,22,9.506048202514648
1501565156.3688731,23,9.484184265136719
1501565156.3718734,24,9.462371826171875
1501565156.3758736,25,9.440608978271484
1501565156.3788736,26,9.418895721435547
1501565156.382874,27,9.397233009338379
1501565156.385874,28,9.375619888305664
1501565156.3898742,29,9.354056358337402
1501565156.3928745,30,9.33254337310791
1501565156.3968747,31,9.311079025268555
1501565156.4008749,32,9.289664268493652
1501565156.403875,33,9.268298149108887
1501565156.4078753,34,9.246981620788574
1501565156.4108756,35,9.225714683532715
1501565156.4148757,36,9.204495429992676
1501565156.417876,37,9.18332576751709
1501565156.4218762,38,9.16220474243164
1501565156.4248762,39,9.141132354736328
1501565156.4288764,40,9.120108604431152
1501565156.4358768,42,9.078205108642578
1501565156.438877,43,9.057326316833496
1501565156.4418774,44,9.036495208740234
1501565156.4458776,45,9.015711784362793
1501565156.4498777,46,8.994976043701172
1501565156.452878,47,8.974287986755371
1501565156.4568782,48,8.95364761352539
1501565156.4598782,49,8.93305492401123
1501565156.4628785,50,8.912508964538574
1501565156.4668787,51,8.892011642456055
1501565156.469879,52,8.871560096740723
1501565156.473879,53,8.851156234741211
1501565156.4768794,54,8.830799102783203
1501565156.4808795,55,8.8104887008667
1501565156.4838798,56,8.7902250289917
1501565156.48788,57,8.770008087158203
1501565156.4918802,58,8.749837875366211
1501565156.4948802,59,8.729713439941406
1501565156.4978805,60,8.709635734558105
1501565156.5018806,61,8.689604759216309
1501565156.5058808,62,8.669618606567383
1501565156.508881,63,8.649679183959961
1501565156.5128813,64,8.629785537719727
1501565156.5158815,65,8.60993766784668
1501565156.5198817,66,8.59013557434082
1501565156.522882,67,8.570378303527832
1501565156.5268822,68,8.550666809082031
1501565156.5298822,69,8.531001091003418
1501565156.5338826,70,8.511380195617676
1501565156.5368826,71,8.491805076599121
1501565156.5408828,72,8.472273826599121
1501565156.543883,73,8.452788352966309
1501565156.5468833,74,8.433347702026367
1501565156.5508835,75,8.413951873779297
1501565156.5538838,76,8.394599914550781
1501565156.557884,77,8.375292778015137
1501565156.560884,78,8.356030464172363
1501565156.5648842,79,8.336812019348145
1501565156.5678844,80,8.31763744354248
1501565156.5718846,81,8.298507690429688
1501565156.574885,82,8.27942180633545
1501565156.5778852,83,8.260379791259766
1501565156.5818853,84,8.24138069152832
1501565156.5848856,85,8.222426414489746
1501565156.5878856,86,8.20351505279541
1501565156.5918858,87,8.184647560119629
1501565156.594886,88,8.165823936462402
1501565156.5988863,89,8.147043228149414
